PX,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,latitude,longitude,Count Date,8HrVehVol,8HrPedVol
724,KIPLING AVE,,NORTH QUEEN ST,PRIVATE ACCESS,12-Dec-1962,43.62526,-79.52845,12/4/2013,22296,568
741,SHEPPARD AVE E,,WILLOWDALE AVE,,10-Sep-1964,43.76403,-79.39968,6/18/2013,22404,1014
743,SHEPPARD AVE E,,BURBANK DR,BESSARION RD,01-Oct-1967,43.76925,-79.37663,6/18/2013,22810,932
744,SHEPPARD AVE E,,LESLIE ST,,06-Mar-1968,43.77169,-79.36416,6/25/2013,38914,1610
745,SHEPPARD AVE E,,SHAUGHNESSY BLVD,,16-Dec-1966,43.77377,-79.35333,6/18/2013,18536,378
746,SHEPPARD AVE E,,FAIRVIEW MALL DR,,18-Nov-1958,43.77628,-79.34112,6/5/2013,31362,157
748,SHEPPARD AVE E,,VICTORIA PARK AVE,,25-Nov-1955,43.77527,-79.32301,10/17/2013,27646,4630
752,KENNEDY RD,,SHEPPARD AVE E,,31-Jan-1958,43.7833,-79.28824,9/9/2013,31876,3333
762,BROWNS LINE,,VALERMO DR,,27-Jul-1965,43.6060424,-79.5471408,2/19/2013,16277,170
767,KIPLING AVE,,BIRMINGHAM ST,,04-Aug-1957,43.60071,-79.518,3/13/2013,9660,794
778,DUNDAS ST W,,SHAVER AVE S,SHORNCLIFFE RD,26-Nov-1962,43.63215,-79.54477,3/12/2013,26144,533
780,LAWRENCE AVE W,,THE WESTWAY,ROYAL YORK RD,20-Aug-1964,43.69618,-79.53271,6/20/2013,15405,299
802,VAUGHAN RD,,WINONA DR,,25-Aug-1960,43.68993,-79.43575,3/13/2013,6617,219
813,WILSON AVE,,CLAYSON RD,PRIVATE ACCESS,07-Jun-1965,43.71774,-79.52303,9/24/2013,17674,254
819,EASTERN AVE,,CARLAW AVE,,28-Jun-1951,43.65842,-79.33894,5/21/2013,16155,1031
829,COLLEGE ST,,OSSINGTON AVE,,06-Oct-1948,43.65443,-79.42268,8/13/2013,13335,5510
832,RONCESVALLES AVE,,HIGH PARK BLVD,FERMANAGH AVE,15-Nov-1955,43.64636,-79.44903,7/11/2013,6002,2052
842,DUPONT ST,,OSSINGTON AVE,,29-Aug-1952,43.67011,-79.42904,3/13/2013,17334,1201
850,OSSINGTON AVE,,HALLAM ST,,03-Jan-1957,43.66796,-79.42813,8/15/2013,8371,699
862,SHEPPARD AVE E,,MIDLAND AVE,,27-Aug-1969,43.78537,-79.27855,1/28/2013,34891,2537
864,VICTORIA PARK AVE,,CONSUMERS RD,MEADOWACRES DR,24-Aug-1971,43.77194,-79.32155,10/17/2013,31063,2504
875,BURNHAMTHORPE RD,,THE WEST MALL,,17-Jun-1969,43.64463,-79.5672,11/27/2013,25958,1128
878,MARKHAM RD,,PROGRESS AVE,,09-Jul-1969,43.78183,-79.23393,10/28/2013,38654,2746
884,BERMONDSEY RD,,SUNRISE AVE,,29-Jul-1970,43.71699,-79.31331,2/19/2013,8166,142
892,EVANS AVE,,THE EAST MALL,,01-Jan-1967,43.61192,-79.54379,7/30/2013,13636,131
897,DON MILLS RD,,HAVENBROOK BLVD,PARKWAY FOREST DR,01-Jan-1965,43.76959,-79.3465,6/18/2013,21973,1176
899,BATHURST ST,,CEDARCROFT BLVD,PATRICIA AVE,26-Aug-1970,43.78394,-79.44553,9/4/2013,24124,1265
901,ELLESMERE RD,,NEILSON RD,,26-Jun-1970,43.78268,-79.20497,12/2/2013,17837,1696
906,SHEPPARD AVE E,,CONSUMERS RD,BRIAN DR,22-Jun-1970,43.77516,-79.33122,10/17/2013,20361,1571
908,ISLINGTON AVE,,JUTLAND RD,,21-Oct-1970,43.62899,-79.51697,9/18/2013,18102,708
911,THE QUEENSWAY,,THE EAST MALL,,20-Nov-1969,43.61647,-79.54625,9/4/2013,28554,222
915,DUNDAS ST W,,EAST MALL CRES,,15-May-1969,43.63041,-79.54983,2/14/2013,26788,850
923,EVANS AVE,,EVANS CRT,SHERWAY GT,17-Feb-1971,43.60899,-79.55642,7/31/2013,13646,277
926,EGLINTON AVE W,,RENFORTH DR,,26-Jun-1970,43.66613,-79.5876,11/4/2013,24464,1046
938,SHEPPARD AVE E,,MCCOWAN RD,,14-Jul-1971,43.78964,-79.25883,10/8/2013,36583,3356
947,ISLINGTON AVE,,FINCH AVE W,,09-Mar-1971,43.74625,-79.5686,2/14/2013,26682,1075
963,LAKE SHORE BLVD E,,COXWELL AVE,ASHBRIDGES BAY PARK RD,07-Jun-1972,43.66228,-79.31484,5/27/2013,18911,372
964,ROGERS RD,34m WEST OF,BICKNELL AVE,PRIVATE ACCESS,10-Oct-1990,43.68193,-79.4742,4/17/2013,11589,1057
974,EGLINTON AVE W,,WINCOTT DR,BEMERSYDE DR,20-Jul-1972,43.67856,-79.54492,12/9/2013,23515,201
982,VICTORIA PARK AVE,,CRESCENT TOWN RD,,22-Jan-1973,43.69656,-79.29046,8/1/2013,9902,363
997,ELLESMERE RD,,BOROUGH APPROACH E,,30-Apr-1973,43.7713,-79.25566,4/16/2013,15756,105
1002,FINCH AVE W,,TOBERMORY DR,,14-Sep-1973,43.7593,-79.50792,2/14/2013,16540,817
1014,SHEPPARD AVE E,,PROVOST DR,AMBROSE RD,30-Jul-1981,43.77030305,-79.37146676,6/25/2013,27016,926
1015,VICTORIA PARK AVE,,FINCH AVE E,,09-Dec-1973,43.79317,-79.33141,10/3/2013,30376,2871
1024,ST CLAIR AVE W,,ARLINGTON AVE,,20-Sep-1973,43.6811,-79.42885,10/21/2013,9785,2626
1040,DON MILLS RD E,,DEERFORD RD,,01-Sep-1974,43.78543,-79.35078,11/7/2013,8216,1574
1043,DON MILLS RD W,185m SOUTH OF,GOODVIEW RD,,04-Sep-1974,43.78227,-79.35224,11/13/2013,9444,483
1076,JANE ST,,HANEY AVE,,11-Aug-1974,43.674,-79.49473,11/26/2013,12934,421
1097,RICHMOND ST W,,PORTLAND ST,,05-Dec-1975,43.64699,-79.40111,8/13/2013,6624,5835
1131,VICTORIA PARK AVE,,DAWES RD,,23-Dec-1974,43.70653,-79.29497,9/11/2013,13423,565
1142,STEELES AVE E,,VICTORIA PARK AVE,,13-Aug-1975,43.81572,-79.34135,8/19/2013,37189,701
1147,BAYVIEW AVE,,BAYVIEW MEWS LANE,,21-Nov-1975,43.7694,-79.38867,6/13/2013,23558,620
